"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month"
2014-01-21,135,185,"SerieClub","15",0.17,45.4,20,2,3,1
2014-01-21,166,1420,"M6","15",3.36,903.96,20,2,3,1
2014-01-21,181,158,"SerieClub","16",0.17,45.4,20,2,3,1
2014-01-21,345,275,"SerieClub","17",0.16,64,30,2,3,1
2014-01-21,727,2106,"M6","18",3.08,1710,30,2,3,1
2014-01-21,200,208,"SerieClub","18",0.09,56.8,20,2,3,1
2014-01-21,235,2022,"M6","19",4.22,2187,20,2,3,1
2014-01-21,454,338,"Teva","20",0.14,402,30,2,3,1
2014-01-21,266,307,"SerieClub","20",0.08,53.4,20,2,3,1
2014-01-21,296,2659,"M6","20",5.66,5540.4,20,2,3,1
2014-01-21,270,237,"SerieClub","21",0.05,62,30,2,3,1
2014-01-21,162,326,"ParisPremiere","22",0.38,153.9,20,2,3,1
2014-01-22,64,51,"ParisPremiere","7",0.01,4.86,20,3,3,1
2014-01-22,55,60,"ParisPremiere","7",0.01,4.86,20,3,3,1
2014-01-22,101,108,"SerieClub","9",0.03,11.4,20,3,3,1
2014-01-22,114,154,"SerieClub","9",0.06,21,20,3,3,1
2014-01-22,116,1105,"M6","11",0.85,379.08,20,3,3,1
2014-01-22,142,172,"Teva","11",0.03,204,30,3,3,1
2014-01-22,133,124,"SerieClub","11",0.05,11.4,20,3,3,1
2014-01-22,496,1497,"M6","12",0.64,1080,30,3,3,1
2014-01-22,222,265,"Teva","12",0.04,223.56,20,3,3,1
2014-01-22,167,1152,"M6","12",1,990,30,3,3,1
2014-01-22,293,369,"Teva","12",0.05,254.34,20,3,3,1
2014-01-22,175,609,"Teva","13",0.05,320,30,3,3,1
2014-01-22,260,222,"SerieClub","14",0.11,32.4,20,3,3,1
2014-01-22,260,2347,"M6","14",3.83,1312.2,20,3,3,1
2014-01-22,262,286,"SerieClub","16",0.16,53.4,20,3,3,1
2014-01-22,247,211,"ParisPremiere","16",0.19,98.82,20,3,3,1
2014-01-22,200,201,"SerieClub","16",0.15,47,20,3,3,1
2014-01-22,540,4572,"M6","17",2.09,1224,30,3,3,1
2014-01-22,370,320,"SerieClub","17",0.18,80,30,3,3,1
2014-01-22,350,2552,"M6","18",3.95,2070,30,3,3,1
2014-01-22,502,2090,"M6","19",5.21,2187,20,3,3,1
2014-01-22,215,290,"ParisPremiere","20",0.09,176,30,3,3,1
2014-01-22,197,227,"SerieClub","20",0.12,68,20,3,3,1
2014-01-22,1315,2999,"M6","20",5.64,6123.6,20,3,3,1
2014-01-22,387,294,"SerieClub","21",0.07,48,30,3,3,1
2014-01-22,267,503,"Teva","21",0.17,290,30,3,3,1
2014-01-22,189,195,"SerieClub","21",0.07,48,30,3,3,1
2014-01-22,192,444,"Teva","21",0.18,256,30,3,3,1
2014-01-22,791,6341,"M6","21",6.6,8280,30,3,3,1
2014-01-23,71,88,"ParisPremiere","7",0,6,30,4,3,1
2014-01-23,118,99,"SerieClub","8",0.03,11.4,20,4,3,1
2014-01-23,141,175,"SerieClub","9",0.06,14.6,20,4,3,1
2014-01-23,132,147,"SerieClub","10",0.07,16.2,20,4,3,1
2014-01-23,170,1024,"M6","10",0.46,174.96,20,4,3,1
2014-01-23,187,202,"SerieClub","11",0.07,16.2,20,4,3,1
2014-01-23,151,146,"SerieClub","11",0.05,17.8,20,4,3,1
2014-01-23,110,270,"Teva","12",0.06,223.56,20,4,3,1
2014-01-23,166,2011,"M6","12",1.19,874.8,20,4,3,1
2014-01-23,404,1186,"M6","12",1.31,831.06,20,4,3,1
2014-01-23,205,439,"Teva","13",0.08,251.1,20,4,3,1
2014-01-23,173,269,"ParisPremiere","13",0.23,56.7,20,4,3,1
2014-01-23,197,525,"Teva","13",0.08,294,30,4,3,1
2014-01-23,346,365,"Teva","14",0.07,106.92,20,4,3,1
2014-01-23,227,207,"ParisPremiere","14",0.35,69.66,20,4,3,1
2014-01-23,598,1948,"M6","14",3.8,1620,30,4,3,1
2014-01-23,247,228,"ParisPremiere","15",0.33,72.9,20,4,3,1
2014-01-23,207,211,"SerieClub","15",0.11,38.8,20,4,3,1
2014-01-23,211,3875,"M6","17",3.92,1224,30,4,3,1
2014-01-23,233,203,"SerieClub","17",0.14,50.2,20,4,3,1
2014-01-23,736,588,"SerieClub","17",0.2,78,30,4,3,1
2014-01-23,312,2442,"M6","18",2.51,1385.1,20,4,3,1
2014-01-23,545,556,"Teva","18",0.01,140,30,4,3,1
2014-01-23,314,313,"SerieClub","18",0.09,68,30,4,3,1
2014-01-23,244,231,"ParisPremiere","19",0.19,114,30,4,3,1
2014-01-23,251,2663,"M6","19",5.75,2700,30,4,3,1
2014-01-23,303,311,"SerieClub","19",0.09,66,30,4,3,1
2014-01-23,248,317,"ParisPremiere","20",0.1,180,30,4,3,1
2014-01-23,402,4446,"M6","20",9.91,9000,30,4,3,1
2014-01-23,290,4376,"M6","21",9.13,9720,30,4,3,1
2014-01-23,302,533,"Teva","22",0.22,380.7,20,4,3,1
2014-01-24,50,56,"ParisPremiere","7",0,4.86,20,5,3,1
2014-01-24,101,151,"SerieClub","8",0.03,17.8,20,5,3,1
2014-01-24,144,166,"SerieClub","9",0.03,14.6,20,5,3,1
2014-01-24,274,614,"M6","10",0.37,174.96,20,5,3,1
2014-01-24,176,160,"SerieClub","11",0.06,11.4,20,5,3,1
2014-01-24,157,256,"Teva","12",0.03,239.76,20,5,3,1
2014-01-24,169,1494,"M6","12",1.29,1080,30,5,3,1
2014-01-24,196,455,"Teva","13",0.04,342,30,5,3,1
2014-01-24,285,615,"Teva","13",0.04,255.96,20,5,3,1
2014-01-24,267,247,"SerieClub","13",0.1,28,30,5,3,1
2014-01-24,213,350,"Teva","13",0.05,115.02,20,5,3,1
2014-01-24,295,242,"ParisPremiere","14",0.31,58.32,20,5,3,1
2014-01-24,235,1607,"M6","14",3.65,1620,30,5,3,1
2014-01-24,306,254,"SerieClub","14",0.1,22.6,20,5,3,1
2014-01-24,533,2042,"M6","14",3.25,1620,30,5,3,1
2014-01-24,368,305,"ParisPremiere","15",0.3,53.46,20,5,3,1
2014-01-24,253,347,"Teva","15",0.05,113.4,20,5,3,1
2014-01-24,273,226,"SerieClub","15",0.14,24.4,20,5,3,1
2014-01-24,283,983,"M6","15",2.02,845.64,20,5,3,1
2014-01-24,411,269,"SerieClub","15",0.13,26,20,5,3,1
2014-01-24,230,2675,"M6","17",2.78,991.44,20,5,3,1
2014-01-24,230,543,"SerieClub","17",0.11,51.8,20,5,3,1
2014-01-24,276,474,"Teva","17",0.01,144,30,5,3,1
2014-01-24,325,284,"SerieClub","17",0.12,56.8,20,5,3,1
2014-01-24,263,478,"Teva","18",0.02,142,30,5,3,1
2014-01-24,866,1753,"M6","18",4.95,1676.7,20,5,3,1
2014-01-24,236,253,"ParisPremiere","19",0.14,114,30,5,3,1
2014-01-24,418,2392,"M6","19",4.49,2700,30,5,3,1
2014-01-24,235,264,"ParisPremiere","20",0.05,124,30,5,3,1
2014-01-24,752,2605,"M6","20",9.9,6123.6,20,5,3,1
2014-01-24,313,312,"SerieClub","20",0.05,60,20,5,3,1
2014-01-24,291,301,"ParisPremiere","20",0.25,112,30,5,3,1
2014-01-24,1216,3108,"M6","20",10.54,9540,30,5,3,1
2014-01-24,314,639,"Teva","21",0.17,224,30,5,3,1
2014-01-24,182,236,"ParisPremiere","22",0.33,119.88,20,5,3,1
2014-01-24,134,168,"ParisPremiere","23",0.31,102.06,20,5,3,1
2014-01-25,66,63,"Teva","7",0.02,4.86,20,6,3,1
2014-01-25,54,95,"ParisPremiere","7",0,4.86,20,6,3,1
2014-01-25,81,93,"ParisPremiere","8",0,4.86,20,6,3,1
2014-01-25,140,168,"SerieClub","9",0.08,24,30,6,3,1
2014-01-25,153,154,"SerieClub","9",0.1,28,30,6,3,1
2014-01-25,174,199,"SerieClub","10",0.09,40,30,6,3,1
2014-01-25,183,655,"M6","11",0.65,408.24,20,6,3,1
2014-01-25,470,575,"M6","12",0.75,758.16,20,6,3,1
2014-01-25,188,197,"SerieClub","13",0.03,21,20,6,3,1
2014-01-25,177,241,"Teva","13",0.1,106.92,20,6,3,1
2014-01-25,190,236,"Teva","15",0.1,129.6,20,6,3,1
2014-01-25,189,173,"SerieClub","16",0.02,48.6,20,6,3,1
2014-01-25,203,1525,"M6","16",3.19,1458,20,6,3,1
2014-01-25,227,216,"SerieClub","18",0.08,58.4,20,6,3,1
2014-01-25,229,1547,"M6","18",3.12,1800,30,6,3,1
2014-01-25,402,387,"SerieClub","20",0.07,96,30,6,3,1
2014-01-25,175,264,"Teva","21",0.2,232,30,6,3,1
2014-01-25,163,263,"Teva","22",0.19,242,30,6,3,1
2014-01-25,516,1728,"M6","22",5.7,4320,30,6,3,1
2014-01-25,235,238,"ParisPremiere","22",0.15,202,30,6,3,1
2014-01-25,154,1496,"M6","22",5.58,4320,30,6,3,1
2014-01-25,202,613,"M6","24",2.6,1260,30,6,3,1
2014-01-26,22,23,"ParisPremiere","7",0,6,30,0,3,1
2014-01-26,67,84,"M6","8",0.01,36,30,0,3,1
2014-01-26,175,167,"SerieClub","10",0.06,27.6,20,0,3,1
2014-01-26,173,174,"Teva","12",0.07,108.54,20,0,3,1
2014-01-26,127,130,"SerieClub","12",0.04,21,20,0,3,1
2014-01-26,178,324,"Teva","13",0.11,106.92,20,0,3,1
2014-01-26,160,336,"Teva","15",0.1,129.6,20,0,3,1
2014-01-26,211,251,"SerieClub","15",0.03,27.6,20,0,3,1
2014-01-26,156,347,"Teva","15",0.07,79.38,20,0,3,1
2014-01-26,209,203,"SerieClub","16",0.03,29.2,20,0,3,1
2014-01-26,278,2559,"M6","17",5.11,2624.4,20,0,3,1
2014-01-26,1293,423,"ParisPremiere","17",0.37,110.16,20,0,3,1
2014-01-26,406,3493,"M6","18",6.24,2916,20,0,3,1
2014-01-26,240,262,"SerieClub","19",0.09,120,30,0,3,1
2014-01-26,1282,3686,"M6","19",6.08,3780,30,0,3,1
2014-01-26,411,492,"ParisPremiere","20",0.24,208,30,0,3,1
2014-01-26,404,403,"SerieClub","20",0.14,144,30,0,3,1
2014-01-26,402,450,"ParisPremiere","20",0.18,97.2,20,0,3,1
2014-01-26,383,351,"SerieClub","20",0.1,122,30,0,3,1
