Day,tripadvisor
19/01/2014,100
20/01/2014,86
21/01/2014,84
22/01/2014,82
23/01/2014,80
24/01/2014,79
25/01/2014,83
26/01/2014,92
27/01/2014,85
28/01/2014,82
29/01/2014,76
30/01/2014,76
31/01/2014,78
01/02/2014,82
02/02/2014,89
03/02/2014,78
04/02/2014,80
05/02/2014,78
06/02/2014,73
07/02/2014,73
08/02/2014,82
09/02/2014,90
10/02/2014,82
11/02/2014,78
12/02/2014,73
13/02/2014,74
14/02/2014,71
15/02/2014,88
16/02/2014,91
17/02/2014,83
18/02/2014,82
19/02/2014,77
20/02/2014,76
21/02/2014,73
22/02/2014,81
23/02/2014,89
24/02/2014,79
25/02/2014,78
26/02/2014,77
27/02/2014,78
28/02/2014,77
01/03/2014,80
02/03/2014,78
03/03/2014,74
04/03/2014,66
05/03/2014,67
06/03/2014,70
07/03/2014,65
08/03/2014,78
09/03/2014,81
10/03/2014,70
11/03/2014,72
12/03/2014,71
13/03/2014,71
14/03/2014,68
15/03/2014,76
16/03/2014,81
17/03/2014,71
18/03/2014,70
19/03/2014,62
20/03/2014,70
21/03/2014,62
22/03/2014,77
23/03/2014,66
24/03/2014,60
25/03/2014,65
26/03/2014,63
27/03/2014,63
28/03/2014,64
29/03/2014,77
30/03/2014,66
31/03/2014,67
01/04/2014,64
02/04/2014,62
03/04/2014,64
04/04/2014,71
05/04/2014,82
06/04/2014,86
07/04/2014,69
08/04/2014,70
09/04/2014,71
10/04/2014,66
11/04/2014,67
12/04/2014,79
13/04/2014,77
14/04/2014,78
15/04/2014,78
16/04/2014,73
17/04/2014,75
18/04/2014,75
19/04/2014,89
20/04/2014,84
21/04/2014,91
22/04/2014,73
23/04/2014,71
24/04/2014,77
25/04/2014,65
26/04/2014,89
27/04/2014,96
28/04/2014,69
29/04/2014,65
30/04/2014,68
