"hour","date","Visite.gain","TypeWeekDay","length","channel","DAYPART","crea","screen","budgetbrut","budgetnet","grp","grpref","tav","tavtap","emav","emap","month","dayofweek","consumption","nthweek","Holidays","CntToHolidays","CntAfterHolidays","visitByhour","cumGrp","cumGrpRef","cumGrpTotal","cumGrpRefTotal"
23,"29/01/2014",1884,"WD",30,"M6","NIGHT","COEUR DES FEMMES 30'' v1",2280,20000,3600,2.8,3.8,"EAJ",1,"PATRON INCOGNITO - UNDERCOVER BOSS","PATRON INCOGNITO - UNDERCOVER BOSS",1,4,71371,5,"0","92","28",0.0289851111,161.43,102.5,362.43,231.31
7,"30/01/2014",-8,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",721,24.3,4.86,0.02,0.01,"EB",0,"TEVA DECO","TEVA BOUTIQUE",1,5,75934,5,"0","91","29",0.014012494,102.83,64.87,362.45,231.32
7,"30/01/2014",11,"WD",20,"ParisPremiere","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",721,24.3,4.86,0.02,0,"EBL",1,"TRES TRES BON","TRES TRES BON",1,5,77739,5,"0","91","29",0.014012494,102.85,64.87,362.47,231.32
7,"30/01/2014",4,"WD",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",751,30,6,0,0,"EBL",0,"TRES TRES BON","A L AFFICHE - LA SELECTION PARIS PR",1,5,77739,5,"0","91","29",0.014012494,161.43,102.5,362.47,231.32
8,"30/01/2014",-32,"WD",20,"SerieClub","DAY","version de base",851,57,11.4,0.03,0.01,"AC",1,"MYSTERE","MYSTERE",1,5,77436,5,"0","91","29",0.0269687699,9.18,4.52,362.5,231.33
9,"30/01/2014",-9,"WD",20,"SerieClub","DAY","version de base",921,73,14.6,0.06,0.01,"AC",1,"MYSTERE","MYSTERE",1,5,77589,5,"0","91","29",0.0381771083,9.24,4.53,362.56,231.34
9,"30/01/2014",44,"WD",20,"SerieClub","DAY","version de base",1001,81,16.2,0.07,0.02,"AC",1,"MYSTERE","MYSTERE",1,5,77656,5,"0","91","29",0.0381771083,9.31,4.55,362.63,231.36
10,"30/01/2014",744,"WD",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1015,1200,216,0.68,0.33,"CBB",1,"LES REINES DU SHOPPING","LES REINES DU SHOPPING",1,5,77486,5,"0","91","29",0.0484286373,162.11,102.83,363.31,231.69
11,"30/01/2014",40,"WD",20,"SerieClub","DAY","version de base",1041,81,16.2,0.07,0.02,"AC",1,"MYSTERE","MYSTERE",1,5,77621,5,"0","91","29",0.0502842677,9.38,4.57,363.38,231.71
11,"30/01/2014",13,"WD",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1131,510.3,102.06,0.01,0.05,"AB",1,"DESSINE-MOI UNE FAMILLE","DESSINE-MOI UNE FAMILLE",1,5,77621,5,"0","91","29",0.0502842677,89.05,59.49,363.39,231.76
12,"30/01/2014",135,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1231,1117.8,223.56,0.06,0.14,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,5,77008,5,"0","91","29",0.0437506265,102.91,65.01,363.45,231.9
13,"30/01/2014",-5,"WD",20,"ParisPremiere","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1241,170.1,34.02,0.08,0.05,"ACA",1,"SUE THOMAS L OEIL DU F.B.I.:HORACE","SUE THOMAS L OEIL DU F.B.I.:HORACE",1,5,76060,5,"0","91","29",0.057276846,102.99,65.06,363.53,231.95
13,"30/01/2014",101,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1411,534.6,106.92,0.07,0.07,"AC",0,"DESPERATE HOUSEWIVES","UN ETE AVEC MON PERE",1,5,75626,5,"0","91","29",0.057276846,103.06,65.13,363.6,232.02
14,"30/01/2014",1282,"WD",20,"M6","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1410,7290,1312.2,3.49,1.95,"ABB",1,"SUREXPOSEE","SUREXPOSEE",1,5,75268,5,"0","91","29",0.0694229404,92.54,61.44,367.09,233.97
15,"30/01/2014",8,"WD",20,"SerieClub","DAY","version de base",1521,194,38.8,0.11,0.03,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",1,5,72853,5,"0","91","29",0.0693848337,9.49,4.6,367.2,234
15,"30/01/2014",-9,"WD",20,"SerieClub","DAY","version de base",1601,235,47,0.12,0.04,"AC",1,"PREUVE A L'APPUI","MEDIUM",1,5,72284,5,"0","91","29",0.0693848337,9.61,4.64,367.32,234.04
16,"30/01/2014",30,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1511,396.9,79.38,0.06,0.05,"AB",1,"MALE, DES MOTS (UN)","MALE, DES MOTS (UN)",1,5,72033,5,"0","91","29",0.0745623736,103.12,65.18,367.38,234.09
16,"30/01/2014",25,"WD",20,"SerieClub","DAY","version de base",1701,203,40.6,0.12,0.05,"AC",1,"MEDIUM","MEDIUM",1,5,72090,5,"0","91","29",0.0745623736,9.73,4.69,367.5,234.14
17,"30/01/2014",2500,"WD",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1640,5508,991.44,2.13,1.37,"CBB",1,"LES REINES DU SHOPPING","LES REINES DU SHOPPING",1,5,73151,5,"0","91","29",0.088854869,105.25,66.55,369.63,235.51
17,"30/01/2014",25,"WD",30,"Teva","DAY","COEUR DES FEMMES 30'' v1",1801,610,122,0,0.05,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,5,75336,5,"0","91","29",0.088854869,162.11,102.88,369.63,235.56
17,"30/01/2014",-27,"WD",30,"SerieClub","DAY","version de base",1821,390,78,0.2,0.07,"AC",1,"MEDIUM","LE CAMELEON",1,5,75336,5,"0","91","29",0.088854869,9.93,4.76,369.83,235.63
18,"30/01/2014",52,"WD",30,"SerieClub","ACCESS","version de base",1921,340,68,0.09,0.05,"AC",1,"LE CAMELEON","LE CAMELEON",1,5,80588,5,"0","91","29",0.0860026658,10.02,4.81,369.92,235.68
19,"30/01/2014",106,"WD",20,"Teva","ACCESS","EFFET SCULPTANT LA FEMME 20'' v1",1931,777.6,155.52,0,0.08,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,5,79587,5,"0","91","29",0.0653886013,92.54,61.52,369.92,235.76
19,"30/01/2014",1427,"WD",30,"M6","ACCESS","COEUR DES FEMMES 30'' v1",1930,15000,2700,5.04,3,"DDB",1,"100 POUR 100 MAG:REPORTAGE:100 POUR","100 POUR 100 MAG:REPORTAGE:PEOPLE L",1,5,79587,5,"0","91","29",0.0653886013,167.15,105.88,374.96,238.76
19,"30/01/2014",-52,"WD",30,"ParisPremiere","ACCESS","COEUR DES FEMMES 30'' v1",1921,570,114,0.19,0.1,"ACC",0,"CODE QUANTUM:ENCHERES FRAUDULEUSES","KAAMELOTT:JIZO",1,5,79587,5,"0","91","29",0.0653886013,167.34,105.98,375.15,238.86
20,"30/01/2014",11,"WD",30,"ParisPremiere","PEAK","COEUR DES FEMMES 30'' v1",2021,900,180,0.1,0.15,"ACB",1,"KAAMELOTT:LA CONSPIRATRICE","KAAMELOTT:LE DESTITUE",1,5,74803,5,"0","91","29",0.0824777966,167.44,106.13,375.25,239.01
20,"30/01/2014",3005,"WD",20,"M6","PEAK","EFFET SCULPTANT LA FEMME 20'' v1",2025,40500,7290,10.14,6.41,"ACB",1,"SCENES DE MENAGES","SCENES DE MENAGES",1,5,74803,5,"0","91","29",0.0824777966,102.68,67.93,385.39,245.42
21,"30/01/2014",3371,"WD",30,"M6","PEAK","COEUR DES FEMMES 30'' v1",2130,50000,9000,9.38,4.95,"ACA",1,"BONES:LE SUPPLICE DE PROMETHEE","BONES:LE SUPPLICE DE PROMETHEE",1,5,68575,5,"0","91","29",0.061608583,176.82,111.08,394.77,250.37
22,"30/01/2014",129,"WD",30,"Teva","NIGHT","COEUR DES FEMMES 30'' v1",2151,2350,470,0.22,0.27,"AA",1,"CITE DE LA PEUR, UNE COMEDIE FAMILI","CITE DE LA PEUR, UNE COMEDIE FAMILI",1,5,68738,5,"0","91","29",0.0591018252,177.04,111.35,394.99,250.64
22,"30/01/2014",55,"WD",20,"ParisPremiere","NIGHT","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",2211,1393.2,278.64,0.36,0.24,"AAG",1,"WINDTALKERS LES MESSAGERS DU VENT","WINDTALKERS LES MESSAGERS DU VENT",1,5,68738,5,"0","91","29",0.0591018252,105.61,66.79,395.35,250.88
7,"31/01/2014",4,"WD",20,"ParisPremiere","DAY","EFFET SCULPTANT LA FEMME 20'' v1",721,24.3,4.86,0,0,"EBL",1,"TRES TRES BON","TRES TRES BON",1,6,78843,5,"0","90","30",0.014012494,102.68,67.93,395.35,250.88
7,"31/01/2014",-2,"WD",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",751,30,6,0,0,"EBF",0,"HOTELS DU MONDE","A L AFFICHE - LA SELECTION PARIS PR",1,6,80503,5,"0","90","30",0.014012494,177.04,111.35,395.35,250.88
9,"31/01/2014",-10,"WD",20,"SerieClub","DAY","version de base",851,89,17.8,0.03,0.01,"AB",1,"DOLMEN","DOLMEN",1,6,80454,5,"0","90","30",0.0381771083,10.05,4.82,395.38,250.89
9,"31/01/2014",47,"WD",20,"SerieClub","DAY","version de base",951,73,14.6,0.03,0.02,"AB",1,"DOLMEN","DOLMEN",1,6,80414,5,"0","90","30",0.0381771083,10.08,4.84,395.41,250.91
10,"31/01/2014",486,"WD",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1015,972,174.96,0.02,0.28,"CBB",1,"LES REINES DU SHOPPING","LES REINES DU SHOPPING",1,6,79907,5,"0","90","30",0.0484286373,105.63,67.07,395.43,251.19
11,"31/01/2014",51,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1131,550.8,110.16,0.05,0.07,"AB",1,"COUP DE FOUDRE A MUMBAI","COUP DE FOUDRE A MUMBAI",1,6,79546,5,"0","90","30",0.0502842677,105.68,67.14,395.48,251.26
11,"31/01/2014",511,"WD",20,"M6","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1120,2106,379.08,0.22,0.48,"ACB",1,"DROP DEAD DIVA:SANG DESSUS-DESSOUS","DROP DEAD DIVA:SANG DESSUS-DESSOUS",1,6,79546,5,"0","90","30",0.0502842677,102.9,68.41,395.7,251.74
11,"31/01/2014",29,"WD",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1211,939.6,187.92,0.03,0.1,"AB",0,"COUP DE FOUDRE A MUMBAI","DESPERATE HOUSEWIVES",1,6,79185,5,"0","90","30",0.0502842677,102.93,68.51,395.73,251.84
11,"31/01/2014",11,"WD",20,"SerieClub","DAY","version de base",1211,57,11.4,0.06,0.01,"AB",0,"MERCI LES ENFANTS VONT BIEN","MERCI LES ENFANTS VONT BIEN",1,6,79185,5,"0","90","30",0.0502842677,10.14,4.85,395.79,251.85
12,"31/01/2014",142,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1231,1198.8,239.76,0.03,0.15,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,6,78108,5,"0","90","30",0.0437506265,105.71,67.29,395.82,252
12,"31/01/2014",986,"WD",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1230,4860,874.8,1.07,0.91,"ACB",1,"DROP DEAD DIVA:PAVILLON NOIR","DROP DEAD DIVA:PAVILLON NOIR",1,6,78108,5,"0","90","30",0.0437506265,106.78,68.2,396.89,252.91
13,"31/01/2014",-136,"WD",20,"SerieClub","DAY","version de base",1341,81,16.2,0.05,0.02,"AB",0,"MERCI LES ENFANTS VONT BIEN","PREUVE A L'APPUI",1,6,76225,5,"0","90","30",0.057276846,10.19,4.87,396.94,252.93
13,"31/01/2014",151,"WD",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1321,1279.8,255.96,0.04,0.15,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,6,75103,5,"0","90","30",0.057276846,102.97,68.66,396.98,253.08
13,"31/01/2014",117,"WD",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1411,575.1,115.02,0.05,0.07,"AC",0,"DESPERATE HOUSEWIVES","BELLE TOUTE NUE",1,6,75103,5,"0","90","30",0.057276846,106.83,68.27,397.03,253.15
13,"31/01/2014",21,"WD",30,"SerieClub","DAY","version de base",1401,140,28,0.1,0.03,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",1,6,75103,5,"0","90","30",0.057276846,10.29,4.9,397.13,253.18
14,"31/01/2014",9,"WD",20,"ParisPremiere","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1411,291.6,58.32,0.31,0.09,"ACA",1,"AMICALEMENT VOTRE:L HERITAGE OZEROV","AMICALEMENT VOTRE:L HERITAGE OZEROV",1,6,74561,5,"0","90","30",0.0694229404,103.28,68.75,397.44,253.27
14,"31/01/2014",895,"WD",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1410,7290,1312.2,4.22,1.9,"ABB",1,"JESSE STONE L ENFANT DISPARU","JESSE STONE L ENFANT DISPARU",1,6,74561,5,"0","90","30",0.0694229404,111.05,70.17,401.66,255.17
14,"31/01/2014",-15,"WD",20,"SerieClub","DAY","version de base",1451,113,22.6,0.1,0.02,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",1,6,72730,5,"0","90","30",0.0694229404,10.39,4.92,401.76,255.19
14,"31/01/2014",1053,"WD",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1440,9000,1620,4.32,1.76,"ABB",1,"JESSE STONE L ENFANT DISPARU","JESSE STONE L ENFANT DISPARU",1,6,72730,5,"0","90","30",0.0694229404,181.36,113.11,406.08,256.95
15,"31/01/2014",-29,"WD",20,"SerieClub","DAY","version de base",1521,122,24.4,0.14,0.03,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",1,6,71724,5,"0","90","30",0.0693848337,10.53,4.95,406.22,256.98
16,"31/01/2014",27,"WD",20,"SerieClub","DAY","version de base",1611,130,26,0.13,0.03,"AC",1,"MEDIUM","MEDIUM",1,6,70858,5,"0","90","30",0.0745623736,10.66,4.98,406.35,257.01
16,"31/01/2014",1711,"WD",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1640,6800,1224,2.51,1.62,"CBB",1,"LES REINES DU SHOPPING","LES REINES DU SHOPPING",1,6,70858,5,"0","90","30",0.0745623736,183.87,114.73,408.86,258.63
17,"31/01/2014",2652,"WD",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1710,7500,1350,2.39,1.95,"CBB",1,"LES REINES DU SHOPPING","LES REINES DU SHOPPING",1,6,71911,5,"0","90","30",0.088854869,186.26,116.68,411.25,260.58
17,"31/01/2014",-3,"WD",30,"SerieClub","DAY","version de base",1821,350,70,0.12,0.06,"AC",1,"MEDIUM","LE CAMELEON",1,6,74803,5,"0","90","30",0.088854869,10.78,5.04,411.37,260.64
18,"31/01/2014",52,"WD",20,"ParisPremiere","ACCESS","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1821,332.1,66.42,0.15,0.07,"ACC",1,"CODE QUANTUM:NUIT MAGIQUE - 21 MAI","CODE QUANTUM:NUIT MAGIQUE - 21 MAI",1,6,77603,5,"0","90","30",0.0860026658,111.2,70.24,411.52,260.71
18,"31/01/2014",113,"WD",30,"Teva","ACCESS","COEUR DES FEMMES 30'' v1",1841,710,142,0.02,0.06,"AC",1,"DESPERATE HOUSEWIVES","DESPERATE HOUSEWIVES",1,6,77603,5,"0","90","30",0.0860026658,186.28,116.74,411.54,260.77
19,"31/01/2014",1604,"WD",20,"M6","ACCESS","EFFET SCULPTANT LA FEMME 20'' v1",1930,12150,2187,4.68,2.03,"DDB",1,"100 POUR 100 MAG:REPORTAGE:100 POUR","100 POUR 100 MAG:REPORTAGE:PEOPLE L",1,6,78294,5,"0","90","30",0.0653886013,107.96,70.78,416.22,262.8
19,"31/01/2014",-51,"WD",20,"ParisPremiere","ACCESS","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1921,461.7,92.34,0.14,0.08,"ACC",0,"CODE QUANTUM:UN MARI POUR DEUX - 25","KAAMELOTT:LE PHARE",1,6,78294,5,"0","90","30",0.0653886013,111.34,70.32,416.36,262.88
20,"31/01/2014",1666,"WD",20,"M6","PEAK","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",2005,34020,6123.6,6.86,4.36,"DAA",0,"LE 1945:NATHALIE RENOUX","SCENES DE MENAGES",1,6,74256,5,"0","90","30",0.0824777966,118.2,74.68,423.22,267.24
20,"31/01/2014",2823,"WD",30,"M6","PEAK","COEUR DES FEMMES 30'' v1",2045,48000,8640,10.61,6.1,"EBJ",0,"UNE MINUTE POUR LA SECURITE ROUTIER","ELEMENTARY:JEUX DE GUERRE",1,6,72333,5,"0","90","30",0.0824777966,196.89,122.84,433.83,273.34
21,"31/01/2014",176,"WD",20,"Teva","PEAK","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",2141,907.2,181.44,0.17,0.11,"CBA",1,"REINES DU SHOPPING (LES)","REINES DU SHOPPING (LES)",1,6,70502,5,"0","90","30",0.061608583,118.37,74.79,434,273.45
21,"31/01/2014",-42,"WD",20,"SerieClub","PEAK","version de base",2131,138,27.6,0.07,0.03,"AC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",1,6,68747,5,"0","90","30",0.061608583,10.85,5.07,434.07,273.48
21,"31/01/2014",360,"WD",30,"Teva","PEAK","COEUR DES FEMMES 30'' v1",2151,1250,250,0.18,0.12,"CBA",1,"REINES DU SHOPPING (LES)","REINES DU SHOPPING (LES)",1,6,68747,5,"0","90","30",0.061608583,197.07,122.96,434.25,273.6
22,"31/01/2014",0,"WD",20,"ParisPremiere","NIGHT","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",2231,599.4,119.88,0.33,0.22,"CC",1,"LES GROSSES TETES:MICHELE BERNIER","LES GROSSES TETES:MICHELE BERNIER",1,6,71808,5,"0","90","30",0.0591018252,118.7,75.01,434.58,273.82
22,"31/01/2014",28,"WD",20,"ParisPremiere","NIGHT","EFFET SCULPTANT LA FEMME 20'' v1",2241,599.4,119.88,0.33,0.22,"CC",0,"LES GROSSES TETES:MICHELE BERNIER","ZEMMOUR ET NAULLEAU",1,6,71808,5,"0","90","30",0.0591018252,108.29,71,434.91,274.04
23,"31/01/2014",2115,"WD",30,"M6","NIGHT","COEUR DES FEMMES 30'' v1",2180,48000,8640,9.21,4.69,"ACA",1,"ELEMENTARY:L HONNEUR D UN FLIC","ELEMENTARY:L HONNEUR D UN FLIC",1,6,70573,5,"0","90","30",0.0289851111,206.28,127.65,444.12,278.73
23,"31/01/2014",957,"WD",30,"M6","NIGHT","COEUR DES FEMMES 30'' v1",2280,16000,2880,5.41,2.72,"ACA",1,"ELEMENTARY:LES MAITRES DE L UNIVERS","ELEMENTARY:LES MAITRES DE L UNIVERS",1,6,70341,5,"0","90","30",0.0289851111,211.69,130.37,449.53,281.45
7,"01/02/2014",4,"WE",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",741,30,6,0,0,"EBL",1,"INTERIEURS","INTERIEURS",2,7,62871,5,"0","89","31",0.014012494,211.69,130.37,449.53,281.45
7,"01/02/2014",-4,"WE",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",751,30,6,0,0,"EBL",0,"INTERIEURS","A L AFFICHE - LA SELECTION PARIS PR",2,7,63893,5,"0","89","31",0.014012494,211.69,130.37,449.53,281.45
9,"01/02/2014",21,"WE",20,"SerieClub","DAY","version de base",911,97,19.4,0.08,0.02,"AC",1,"NEW YORK 911","NEW YORK 911",2,7,67946,5,"0","89","31",0.0381771083,10.93,5.09,449.61,281.47
9,"01/02/2014",6,"WE",20,"SerieClub","DAY","version de base",951,113,22.6,0.1,0.02,"AC",1,"NEW YORK 911","NEW YORK 911",2,7,68560,5,"0","89","31",0.0381771083,11.03,5.11,449.71,281.49
9,"01/02/2014",9,"WE",30,"SerieClub","DAY","version de base",1001,200,40,0.09,0.03,"AC",0,"NEW YORK 911","FAMILLE D'ACCUEIL",2,7,68560,5,"0","89","31",0.0381771083,11.12,5.14,449.8,281.52
10,"01/02/2014",40,"WE",30,"SerieClub","DAY","version de base",1041,190,38,0.08,0.02,"ACC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",2,7,68934,5,"0","89","31",0.0484286373,11.2,5.16,449.88,281.54
10,"01/02/2014",121,"WE",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1040,1000,180,0.67,0.15,"EBD",0,"PLUS VITE QUE LA MUSIQUE:AMEL BENT","NORBERT ET JEAN LE DEFI",2,7,68837,5,"0","89","31",0.0484286373,212.36,130.52,450.55,281.69
11,"01/02/2014",3,"WE",30,"SerieClub","DAY","version de base",1141,140,28,0.05,0.02,"ACC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",2,7,69258,5,"0","89","31",0.0502842677,11.25,5.18,450.6,281.71
11,"01/02/2014",12,"WE",20,"SerieClub","DAY","version de base",1321,105,21,0.03,0.03,"ACC",0,"FAMILLE D'ACCUEIL","EUREKA",2,7,69734,5,"0","89","31",0.0502842677,11.28,5.21,450.63,281.74
12,"01/02/2014",82,"WE",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1231,542.7,108.54,0.1,0.08,"AC",0,"DROP DEAD DIVA","NOUVEAU LOOK POUR UNE NOUVELLE VIE",2,7,70173,5,"0","89","31",0.0437506265,108.39,71.08,450.73,281.82
12,"01/02/2014",493,"WE",20,"M6","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1240,3888,699.84,0.18,0.62,"EBL",0,"NORBERT ET JEAN LE DEFI","METEO 6",2,7,70883,5,"0","89","31",0.0437506265,108.57,71.7,450.91,282.44
13,"01/02/2014",109,"WE",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1241,542.7,108.54,0.1,0.08,"EA",1,"NOUVEAU LOOK POUR UNE NOUVELLE VIE","NOUVEAU LOOK POUR UNE NOUVELLE VIE",2,7,68858,5,"0","89","31",0.057276846,118.8,75.09,451.01,282.52
13,"01/02/2014",-28,"WE",30,"SerieClub","DAY","version de base",1011,200,40,0.09,0.03,"AC",1,"NEW YORK 911","NEW YORK 911",2,7,68858,5,"0","89","31",0.057276846,11.37,5.24,451.1,282.55
14,"01/02/2014",953,"WE",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1410,6642,1195.56,2.22,1.53,"EAJ",1,"CAUCHEMAR EN CUISINE:MARSEILLE","CAUCHEMAR EN CUISINE:MARSEILLE",2,7,67064,5,"0","89","31",0.0694229404,121.02,76.62,453.32,284.08
14,"01/02/2014",107,"WE",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1411,534.6,106.92,0.1,0.08,"EA",0,"NOUVEAU LOOK POUR UNE NOUVELLE VIE","MAGNIFIQUE BY CRISTINA",2,7,67064,5,"0","89","31",0.0694229404,108.67,71.78,453.42,284.16
14,"01/02/2014",230,"WE",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1501,591.3,118.26,0.09,0.07,"EB",1,"MAGNIFIQUE BY CRISTINA","MAGNIFIQUE BY CRISTINA",2,7,65318,5,"0","89","31",0.0694229404,121.11,76.69,453.51,284.23
15,"01/02/2014",1334,"WE",20,"M6","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1440,6885,1239.3,2.97,1.89,"EAJ",1,"CAUCHEMAR EN CUISINE:MARSEILLE","CAUCHEMAR EN CUISINE:MARSEILLE",2,7,64331,5,"0","89","31",0.0693848337,111.64,73.67,456.48,286.12
15,"01/02/2014",90,"WE",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1521,648,129.6,0.1,0.08,"E",1,"GATEAU DE MES REVES (LE)","GATEAU DE MES REVES (LE)",2,7,64331,5,"0","89","31",0.0693848337,111.74,73.75,456.58,286.2
16,"01/02/2014",-19,"WE",20,"Teva","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1541,575.1,115.02,0.07,0.07,"EB",1,"TEVA DECO","TEVA DECO",2,7,63106,5,"0","89","31",0.0745623736,121.18,76.76,456.65,286.27
16,"01/02/2014",1135,"WE",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1640,9000,1620,1.45,1.57,"EAJ",1,"CAUCHEMAR EN CUISINE:CHILLY MAZARIN","CAUCHEMAR EN CUISINE:CHILLY MAZARIN",2,7,63106,5,"0","89","31",0.0745623736,213.81,132.09,458.1,287.84
17,"01/02/2014",1287,"WE",20,"M6","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1710,7290,1312.2,2.09,1.54,"EAJ",1,"CAUCHEMAR EN CUISINE:CHILLY MAZARIN","CAUCHEMAR EN CUISINE:CHILLY MAZARIN",2,7,64114,5,"0","89","31",0.088854869,123.27,78.3,460.19,289.38
17,"01/02/2014",750,"WE",20,"M6","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1800,6480,1166.4,1.66,1.04,"EBD",0,"PLUS VITE QUE LA MUSIQUE:LE SOLDAT","MUST CELEBRITES",2,7,64114,5,"0","89","31",0.088854869,113.4,74.79,461.85,290.42
17,"01/02/2014",33,"WE",30,"Teva","DAY","COEUR DES FEMMES 30'' v1",1801,540,108,0.09,0.05,"EB",1,"DOSSIERS DE TEVA (LES)","DOSSIERS DE TEVA (LES)",2,7,66743,5,"0","89","31",0.088854869,213.9,132.14,461.94,290.47
18,"01/02/2014",-25,"WE",20,"SerieClub","ACCESS","version de base",1841,292,58.4,0.08,0.05,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",2,7,69725,5,"0","89","31",0.0860026658,11.45,5.29,462.02,290.52
18,"01/02/2014",1985,"WE",30,"M6","ACCESS","COEUR DES FEMMES 30'' v1",1830,10500,1890,2.17,1.64,"DDB",1,"MUST CELEBRITES:REPORTAGE:LE JOURNA","MUST CELEBRITES:REPORTAGE:LA VERITA",2,7,69725,5,"0","89","31",0.0860026658,216.07,133.78,464.19,292.16
18,"01/02/2014",14,"WE",30,"SerieClub","ACCESS","version de base",1921,390,78,0.15,0.07,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",2,7,71687,5,"0","89","31",0.0860026658,11.6,5.36,464.34,292.23
19,"01/02/2014",1,"WE",20,"SerieClub","ACCESS","version de base",1951,300,60,0.12,0.07,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",2,7,70003,5,"0","89","31",0.0653886013,11.72,5.43,464.46,292.3
21,"01/02/2014",12,"WE",30,"ParisPremiere","PEAK","COEUR DES FEMMES 30'' v1",2211,1010,202,0.15,0.14,"AE",1,"MON BEAU-PERE EST UNE PRINCESSE","MON BEAU-PERE EST UNE PRINCESSE",2,7,64739,5,"0","89","31",0.061608583,216.22,133.92,464.61,292.44
