date,datetime,Visites_by_hour
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,1
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,3
01/03/2014,01/03/2014 02,1
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,1
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,4
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 02,0
01/03/2014,01/03/2014 02,2
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,3
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,3
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,1
01/03/2014,01/03/2014 03,0
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 03,2
01/03/2014,01/03/2014 04,1497
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
