2013-02-23,417451,0,1878801
2013-02-24,471847,0,1810605
2013-02-25,471194,0,1927743
2013-02-26,438152,0,1912019
2013-02-27,432188,0,1880893
2013-02-28,408910,0,1843303
2013-03-01,428628,0,1833033
2013-03-02,423299,0,1681240
2013-03-03,444516,0,1560758
2013-03-04,453394,0,1664903
2013-03-05,437940,0,1603785
2013-03-06,440351,0,1549374
2013-03-07,427831,0,1497799
2013-03-08,436799,0,1460077
2013-03-09,409859,0,1314274
2013-03-10,468304,0,1295945
2013-03-11,475556,0,1590520
2013-03-12,434321,0,1736777
2013-03-13,432195,0,1833538
2013-03-14,414107,0,1824539
2013-03-15,413832,0,1811464
2013-03-16,423257,0,1623345
2013-03-17,506212,0,1491619
2013-03-18,468481,0,1684924
2013-03-19,434202,0,1678173
2013-03-20,445310,0,1646687
2013-03-21,423971,0,1633022
2013-03-22,420552,0,1537208
2013-03-23,440038,0,1379012
2013-03-24,510519,0,1356900
2013-03-25,485610,0,1575703
2013-03-26,440288,0,1626962
2013-03-27,444380,0,1635216
2013-03-28,429578,0,1644169
2013-03-29,463904,2,1641295
2013-03-30,450597,0,1506279
2013-03-31,424306,0,1367909
2013-04-01,500951,1,1439708
2013-04-02,453464,0,1593145
2013-04-03,444791,0,1595049
2013-04-04,448024,0,1636405
2013-04-05,450962,0,1641037
2013-04-06,454737,0,1516268
2013-04-07,483812,0,1397633
2013-04-08,497965,0,1543905
2013-04-09,475211,0,1538679
2013-04-10,464287,0,1493334
2013-04-11,456082,0,1438206
2013-04-12,462247,0,1402104
2013-04-13,439182,0,1241003
2013-04-14,409948,0,1067192
2013-04-15,478139,0,1203191
2013-04-16,445442,0,1231343
2013-04-17,429123,0,1208973
2013-04-18,442240,0,1200951
2013-04-19,463353,0,1246857
2013-04-20,455568,0,1181238
2013-04-21,477446,0,1118652
2013-04-22,506261,0,1286068
2013-04-23,463594,0,1287631
2013-04-24,433967,0,1240829
2013-04-25,425866,0,1197527
2013-04-26,483944,0,1215602
2013-04-27,494210,0,1174971
2013-04-28,532051,0,1166204
2013-04-29,533567,0,1348048
2013-04-30,505605,0,1349796
2013-05-01,558019,1,1115069
2013-05-02,494990,0,1262395
2013-05-03,496402,0,1252823
2013-05-04,449377,0,1106374
2013-05-05,478993,0,1007137
2013-05-06,524143,0,1159042
2013-05-07,484737,0,1156956
2013-05-08,487572,1,1006613
2013-05-09,504735,1,987972
2013-05-10,501927,0,1082556
2013-05-11,467340,0,1044845
2013-05-12,509706,0,1006687
2013-05-13,493042,0,1201473
2013-05-14,463484,0,1234021
2013-05-15,474517,0,1246416
2013-05-16,457743,0,1279059
2013-05-17,449324,0,1258531
2013-05-18,441208,0,1132998
2013-05-19,485194,0,1067182
2013-05-20,547593,1,1124492
2013-05-21,480287,0,1304700
2013-05-22,474961,0,1300749
2013-05-23,464068,0,1310921
2013-05-24,500048,0,1358302
2013-05-25,467784,0,1205433
2013-05-26,462511,0,1102634
2013-05-27,500990,0,1230505
2013-05-28,529345,0,1264873
2013-05-29,515388,0,1296859
2013-05-30,503560,0,1309164
2013-05-31,492187,0,1272701
2013-06-01,452658,0,1092162
2013-06-02,483199,0,992735
2013-06-03,504104,0,1168320
2013-06-04,477790,0,1180364
2013-06-05,464963,0,1169403
2013-06-06,443162,0,1160964
2013-06-07,425742,0,1140005
2013-06-08,447210,0,1001783
2013-06-09,541900,0,937682
2013-06-10,534849,0,1123998
2013-06-11,508909,0,1152768
2013-06-12,499532,0,1158737
2013-06-13,513144,0,1156493
2013-06-14,478532,0,1136213
2013-06-15,454304,0,999101
2013-06-16,470160,0,927905
2013-06-17,538194,0,1133268
2013-06-18,515624,0,1171329
2013-06-19,509546,0,1172322
2013-06-20,493596,0,1164281
2013-06-21,477844,0,1138180
2013-06-22,472451,0,1001071
2013-06-23,563134,0,936134
2013-06-24,564015,0,1122141
2013-06-25,524719,0,1151396
2013-06-26,473802,0,1152052
2013-06-27,469104,0,1156450
2013-06-28,490595,0,1144739
2013-06-29,471470,0,1012307
2013-06-30,508202,0,934270
2013-07-01,556076,0,1119322
2013-07-02,540861,0,1155792
2013-07-03,575906,0,1163469
2013-07-04,530028,0,1161183
2013-07-05,507466,0,1149523
2013-07-06,463196,0,1016808
2013-07-07,525249,0,942393
2013-07-08,593262,0,1146966
2013-07-09,573161,0,1187149
2013-07-10,564398,0,1191415
2013-07-11,554998,0,1178680
2013-07-12,546893,0,1162427
2013-07-13,486208,0,1023760
2013-07-14,530332,0,942652
2013-07-15,619916,0,1145246
2013-07-16,613644,0,1183100
2013-07-17,608674,0,1185030
2013-07-18,600813,0,1183947
2013-07-19,599865,0,1168648
2013-07-20,536845,0,1035141
2013-07-21,581179,0,965069
2013-07-22,648748,0,1167759
2013-07-23,632294,0,1193931
2013-07-24,629787,0,1186228
2013-07-25,611249,0,1196858
2013-07-26,604301,0,1170497
2013-07-27,553484,0,1020663
2013-07-28,638911,0,930267
2013-07-29,703862,0,1067454
2013-07-30,679084,0,1093800
2013-07-31,664448,0,1109514
2013-08-01,637561,0,1129585
2013-08-02,648341,0,1109817
2013-08-03,606285,0,974801
2013-08-04,652985,0,910729
2013-08-05,706648,0,1044004
2013-08-06,685830,0,1050313
2013-08-07,725571,0,1025875
2013-08-08,668730,0,1010140
2013-08-09,657727,0,1003232
2013-08-10,587808,0,918385
2013-08-11,618518,0,865645
2013-08-12,681863,0,989369
2013-08-13,666866,0,1005977
2013-08-14,645788,0,1006262
2013-08-15,617947,1,914972
2013-08-16,632887,0,984906
2013-08-17,581057,0,939192
2013-08-18,621043,0,891007
2013-08-19,668486,0,1022312
2013-08-20,618825,0,1044699
2013-08-21,606836,0,1053900
2013-08-22,587899,0,1066435
2013-08-23,591827,0,1071816
2013-08-24,566646,0,967740
2013-08-25,716281,0,898816
2013-08-26,644937,0,1064724
2013-08-27,604580,0,1114798
2013-08-28,579187,0,1121486
2013-08-29,557121,0,1131053
2013-08-30,560363,0,1122636
2013-08-31,510874,0,992663
2013-09-01,515597,0,919202
2013-09-02,528414,0,1104056
2013-09-03,509525,0,1153343
2013-09-04,512545,0,1171128
2013-09-05,506118,0,1175152
2013-09-06,532070,0,1149398
2013-09-07,513331,0,997822
2013-09-08,552280,0,926376
2013-09-09,553668,0,1110876
2013-09-10,519385,0,1135055
2013-09-11,510722,0,1160946
2013-09-12,496434,0,1173790
2013-09-13,508688,0,1159869
2013-09-14,495186,0,1023248
2013-09-15,521778,0,953552
2013-09-16,523608,0,1144534
2013-09-17,500203,0,1200468
2013-09-18,508125,0,1196467
2013-09-19,490238,0,1192167
2013-09-20,509235,0,1161727
2013-09-21,470846,0,1019153
2013-09-22,492229,0,947738
2013-09-23,515184,0,1128372
2013-09-24,490583,0,1160494
2013-09-25,490614,0,1166534
2013-09-26,480958,0,1167889
2013-09-27,493266,0,1150474
2013-09-28,486247,0,1012622
2013-09-29,529305,0,946576
2013-09-30,520459,0,1129209
2013-10-01,498893,0,1171631
2013-10-02,502310,0,1178259
2013-10-03,510355,0,1181310
2013-10-04,539725,0,1163535
2013-10-05,511395,0,1021038
2013-10-06,529940,0,957489
2013-10-07,528280,0,1143585
2013-10-08,505694,0,1183271
2013-10-09,507939,0,1194280
2013-10-10,488728,0,1240232
2013-10-11,487198,0,1278589
2013-10-12,486092,0,1180055
2013-10-13,522700,0,1129466
2013-10-14,537779,0,1293269
2013-10-15,513786,0,1312616
2013-10-16,517754,0,1315193
2013-10-17,484574,0,1278387
2013-10-18,500513,0,1260081
2013-10-19,495308,0,1108457
2013-10-20,546275,0,1020570
2013-10-21,538259,0,1193196
2013-10-22,526287,0,1215351
2013-10-23,534762,0,1211407
2013-10-24,504236,0,1222481
2013-10-25,524138,0,1207207
2013-10-26,495007,0,1056015
2013-10-27,555647,0,1041329
2013-10-28,554678,0,1196006
2013-10-29,528123,0,1273023
2013-10-30,521960,0,1325341
2013-10-31,496005,0,1348988
2013-11-01,566756,1,1194849
2013-11-02,511942,0,1144533
2013-11-03,524273,0,1127866
2013-11-04,500706,0,1361648
2013-11-05,475733,0,1446862
2013-11-06,470411,0,1376061
2013-11-07,465410,0,1333387
2013-11-08,477093,0,1338954
2013-11-09,479681,0,1252280
2013-11-10,503904,0,1200108
2013-11-11,495688,1,1288598
2013-11-12,453509,0,1470617
2013-11-13,440319,0,1491348
2013-11-14,429103,0,1557471
2013-11-15,434006,0,1588798
2013-11-16,428826,0,1473174
