"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month","TAv_TAp","TAv","DAYPART","weekday_weekend"
2014-01-20,302,278,"SerieClub",17,0.12,92,30,"1","03","01",1,"AC","DAY","WD"
2014-01-20,270,2244,"M6",18,4.34,1385.1,20,"1","03","01",1,"CBA","DAY","WD"
2014-01-20,282,497,"Teva",18,0,184,30,"1","03","01",1,"AC","ACCESS","WD"
2014-01-20,256,278,"ParisPremiere",18,0.19,102.06,20,"1","03","01",1,"ACC","ACCESS","WD"
2014-01-20,1004,2227,"M6",18,5.03,1676.7,20,"1","03","01",1,"CBA","ACCESS","WD"
2014-01-20,174,252,"ParisPremiere",19,0.13,114,30,"1","03","01",1,"ACC","ACCESS","WD"
2014-01-20,168,193,"SerieClub",19,0.1,60,20,"1","03","01",1,"AC","ACCESS","WD"
2014-01-20,156,373,"Teva",19,0.01,168.48,20,"1","03","01",1,"AC","ACCESS","WD"
2014-01-20,164,132,"SerieClub",20,0.08,84.2,20,"1","03","01",1,"AC","ACCESS","WD"
2014-01-20,420,3525,"M6",20,7.15,7290,20,"1","03","01",0,"ACB","PEAK","WD"
2014-01-20,192,147,"SerieClub",21,0,79.4,20,"1","03","01",1,"AC","PEAK","WD"
2014-01-20,172,419,"Teva",21,0.28,358,30,"1","03","01",1,"AA","PEAK","WD"
2014-01-20,156,141,"SerieClub",21,0,79.4,20,"1","03","01",1,"AC","PEAK","WD"
2014-01-20,266,353,"Teva",21,0.29,308,30,"1","03","01",1,"AA","PEAK","WD"
2014-01-21,22,24,"ParisPremiere",7,0,4.86,20,"2","03","01",1,"EBL","PEAK","WD"
2014-01-21,30,41,"ParisPremiere",7,0,6,30,"2","03","01",0,"EBF","DAY","WD"
2014-01-21,66,54,"SerieClub",8,0.05,18,30,"2","03","01",1,"AC","DAY","WD"
2014-01-21,72,88,"SerieClub",9,0.04,13,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,70,66,"SerieClub",9,0.04,17.8,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,110,944,"M6",10,0.18,174.96,20,"2","03","01",1,"CBB","DAY","WD"
2014-01-21,92,138,"Teva",11,0.03,212,30,"2","03","01",0,"AB","DAY","WD"
2014-01-21,70,79,"SerieClub",12,0.05,11.4,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,110,123,"SerieClub",12,0.05,14.6,20,"2","03","01",0,"AC","DAY","WD"
2014-01-21,220,306,"Teva",13,0.05,334,30,"2","03","01",1,"AC","DAY","WD"
2014-01-21,602,273,"SerieClub",13,0.02,14.6,20,"2","03","01",0,"EB","DAY","WD"
2014-01-21,196,450,"Teva",13,0.06,241.38,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,182,182,"SerieClub",13,0.06,27.6,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,166,254,"Teva",13,0.08,108.54,20,"2","03","01",0,"AC","DAY","WD"
2014-01-21,196,152,"SerieClub",14,0.08,35.6,20,"2","03","01",1,"AC","DAY","WD"
